CUSIP,Offer date,Company name,Ticker,Founding,PERM,VC dummy,Rollup,Dual,Post-issue shares,Internet
45922810,19800612,INT'L CAP'L EQUIP,ICEYF,1974,78303,1,.,0,.,0
111632113,19800617,BROCK HOTEL,BHCO,1969,63482,0,0,0,.,0
69915010,19800617,PARAHO DEVELOPMENT,PAHO,1971,61210,1,0,0,.,0
03442510,19800619,ANDREW,ANDW,1947,14323,0,0,0,.,0
370471104,19800619,GENERAL NUTRITION,GNCI,1955,62244,0,0,0,.,0
87861210,19800619,TECHNODYNE,TECK,1980,66106,0,0,0,.,0
55972610,19800625,MAGNUSON COMPUTER,MCSI,1977,50981,1,0,0,.,0
38248610,19800702,GOODY PRODUCTS,GOOD,1933,39432,0,0,0,.,0
90216710,19800709,TYLAN,TYLN,1954,77682,0,0,0,.,0
36949110,19800711,GENERAL DEFENSE,GDEF,1974,63183,0,0,0,.,0
87966410,19800715,TELLABS,TLAB,1974,75257,1,0,0,.,0
68390410,19800716,OPTIMUM HOLDING,OPTI,1975,59847,0,0,0,.,0
03814410,19800722,APPLICON,APPL,1969,14673,1,0,0,.,0
02635010,19800723,AMERICAN GASAHOL,,1980,41874,0,0,0,.,0
00754710,19800724,ADVANCED SYSTEMS,ADVS,1973,65840,0,0,0,.,0
36465710,19800731,GAMMA BIOLOGICALS,GAMA,1970,38157,0,0,0,.,0
609836101,19800806,MONOLITHIC MEMORIES,MMIC,1969,55053,1,0,0,.,0
81790810,19800812,SERVICE FRACTURING,SERF,1973,70114,0,0,0,.,0
05978410,19800820,BANCTEC,BTEC,1977,16564,1,0,0,.,0
87190010,19800905,SYSTEM INDUSTRIES,SYSM,1968,74123,1,0,0,.,0
45013510,19800916,ISC SYSTEMS,ISCS,1977,43407,0,0,0,.,0
59541210,19800916,MID PACIFIC AIRLINES,MPAI,1979,53824,0,0,0,.,0
80401610,19800918,SAT TEL ASSOC RESOURCES,SATV,1978,68930,0,0,0,.,0
69208010,19800923,OXYGEN ENRICHMENT,OECO,1974,60258,0,0,0,.,0
26951010,19800924,EAGLE EXPLORATION,EGLE,1979,31369,0,0,0,.,0
46018410,19800925,INT'L POWER MACHINES,IPMC,1967,62631,1,0,0,.,0
87345210,19800930,TACOMA BOATBLDG,TBOT,1947,62439,0,0,0,.,0
05537810,19801003,BDM INTERNATIONAL,BMDI,1979,63896,0,0,0,.,0
00165010,19801007,AM CABLE TV,AMTV,1974,10314,0,0,0,.,0
87815510,19801007,TEAM,TEAM,1973,65752,0,0,0,.,0
48248010,19801008,KLA INSTRUMENTS,KLAC,1975,46886,1,0,0,.,0
36871010,19801014,GENENTECH,GENE,1976,38280,1,0,0,.,0
98477710,19801015,YANKEE OIL,YANK,1977,63079,1,0,0,.,0
98490310,19801028,XICOR,XICO,1978,83863,0,0,0,.,0
02748710,19801029,AMERICAN METALS,AMTS,1968,13390,0,0,0,.,0
64121710,19801103,NETWORK SYSTEMS,NSCO,1974,57155,1,0,0,.,0
42218010,19801106,HEALTH INFORMATION,HISI,1978,41340,0,0,0,.,0
70976410,19801106,PEOPLE EXPRESS,PEXP,1980,62069,2,0,0,.,0
02990010,19801112,AMPECO,AMPE,1975,63431,1,.,0,.,0
85835910,19801113,STEIGER TRACTOR,STGR,1969,72849,2,0,0,.,0
81375410,19801120,SECURITY AMERICA,SAMC,1980,69738,0,0,0,.,0
00756610,19801121,ADVEST,AVST,1977,64514,0,0,0,.,0
80557510,19801126,SAXON OIL,,1968,68997,0,0,0,.,0
62459510,19801202,MOVIE SYSTEMS,MOVS,1975,55424,0,0,0,.,0
65410610,19801202,NIKE,NIKE,1968,57665,0,0,1,17536000,0
81137710,19801202,SEA GALLEY,SEAG,1979,69543,0,0,0,.,0
26152810,19801203,DRECO ENERGY,DRESF,1950,62535,0,0,0,.,0
48273010,19801203,K-TRON,KTII,1964,46931,0,0,0,.,0
59813010,19801204,MIDWAY AIRLINES,MDWY,1979,53939,2,0,0,.,0
05566310,19801209,BSD MEDICAL,BSDM,1978,16249,0,0,0,.,0
03783310,19801212,Apple Computer,AAPL,1977,14593,1,0,0,.,0
91342410,19801215,UNIV COMMUNICATION,UCSI,1969,62762,0,0,0,.,0
12652010,19801216,C3,CEE,1968,64725,0,0,0,.,0
75409510,19801216,RATLIFF DRILLING,RTLF,1968,63757,0,0,0,.,0
24276910,19801217,DECA ENERGY,DCAS,1980,29138,0,0,0,.,0
26205210,19801217,DRILLERS,DRIL,1980,63562,0,0,0,.,0
07989510,19801218,BELLWETHER,BELW,1980,17559,0,0,0,.,0
98942810,19801218,ZENTEC,ZENT,1973,84100,1,0,0,.,0
24711410,19801223,DELMED,DMES,1974,64215,1,0,0,.,0
45815810,19801231,INTELLIGENT SYSTEMS,INTS,1973,44600,1,0,0,.,0
45030510,19810106,ISSC INDL SOLID ST CTL,ISSC,1962,43423,0,0,0,.,0
57685010,19810107,MATRIX SCIENCE,MTRX,1960,51909,1,0,0,.,0
67061110,19810108,NUTRI/SYSTEM,NUTR,1976,64469,0,0,0,.,0
70212510,19810108,PARTNERS OIL,PARO,1980,61357,0,0,0,.,0
25245610,19810122,DIAGNOSTIC/RETRIEVAL,DRSIA,1968,65226,0,0,1,1480000,0
26817910,19810127,DYSAN,DYSN,1972,31131,1,0,0,.,0
16353210,19810129,CHEM-TRONICS,CTRN,1953,22999,0,0,0,.,0
82705810,19810129,SILICON SYSTEMS,SLCN,1972,70624,1,0,0,.,0
29379510,19810203,ENTERPRISE RADIO,ERSN,1980,33065,1,0,0,.,0
92430010,19810203,VERNA,VRNA,1975,63052,2,0,0,.,0
84055310,19810204,SOUTH TEXAS DRILLING,SOTX,1979,63335,0,0,0,.,0
45837210,19810205,INTER-TEL,INTL,1969,44637,0,0,0,.,0
75990610,19810205,RENAL DEVICES,RDII,1977,66377,0,0,0,.,0
87537710,19810211,TANDON,TCOR,1976,74625,1,0,0,.,0
80876110,19810217,SCIENTIFIC LEASING,SCIL,1968,64485,0,0,0,.,0
28506010,19810218,ELECTRO-BIOLOGY,EBII,1975,31975,1,0,0,.,0
36086810,19810218,FUNDSNET,FNET,1980,37891,0,0,0,.,0
64934310,19810220,NEW YORK AIR,NYAL,1980,57403,0,0,0,.,0
62977510,19810224,NAHAMA & WEAGANT,NAWE,1971,55969,0,0,0,.,0
12501010,19810226,C-COR ELECTRONICS,CCBL,1953,20125,0,.,0,.,0
96990110,19810226,WILLIAMS ELECTRONICS,WIEL,1974,64135,0,0,0,.,0
20978010,19810304,CONSOLIDATED PETROLEUM,CPII,1978,26594,0,0,0,.,0
05276010,19810305,AUTOCLAVE ENGINEERS,ACLV,1946,15828,1,0,0,.,0
15719910,19810306,CETUS,CTUS,1971,22497,0,0,0,.,0
24783610,19810317,DELTA DRILLING,DLTA,1931,29314,0,0,0,.,0
78662710,19810317,SAGE DRILLING,SAGE,1950,68524,0,0,0,.,0
88735510,19810318,TIMES FIBER,TFCI,1977,76305,0,0,0,.,0
67441910,19810319,OBJECT RECOGNITION,ORSI,1972,58895,0,0,0,.,0
26634010,19810324,DURALITH,DRLH,1942,30905,0,0,0,.,0
40416010,19810324,HEI,HEII,1968,40540,1,0,0,.,0
45969510,19810324,INT'L INSTITUTE (MED),IIMS,1980,45154,0,0,0,.,0
87872610,19810324,TECHNOLOGY MARKETING,TMKT,1969,74916,0,0,0,.,0
78411710,19810325,SEI,SEIC,1968,68196,1,0,0,.,0
29247510,19810326,EMULEX,EMLX,1979,32540,1,0,0,.,0
45680910,19810326,INFOTRON SYSTEMS,INFN,1968,44170,1,0,0,.,0
92281210,19810326,VENTREX LABS,VTRX,1976,80486,0,0,0,.,0
02590010,19810401,AMERICAN FIBER OPTICS,FIBR,1980,12854,1,0,0,.,0
24774810,19810401,DELTA NATURAL GAS,DGAS,1949,29285,0,0,0,.,0
85949010,19810401,STERLING PIPE & SUPPLY,PIPE,1976,72902,0,0,0,.,0
45868310,19810407,INTERGRAPH,INGR,1969,44792,1,0,0,.,0
90384810,19810407,ULTIMATE CORPORATION,ULTC,1978,63386,0,0,0,.,0
26852610,19810408,EIL INSTRUMENTS,EILI,1970,31203,0,0,0,.,0
37373410,19810408,GERBER SYSTEMS,GSTI,1979,38894,0,0,0,.,0
48854410,19810408,KENCOPE ENERGY,KCOP,1965,47408,0,0,0,.,0
561699109,19810408,MANAGEMENT SCIENCE,MSAI,1900,51204,0,0,0,.,0
73965910,19810408,PRAIRIE PRODUCING,PPCO,1964,65031,0,0,0,.,0
30213510,19810409,EXPLORATION SURVEYS,ESIIA,1979,63159,1,0,1,2333334,0
45877110,19810413,INTERMAGNETICS GENERAL,INMA,1971,44821,1,0,0,.,0
20520810,19810414,COMPUTER MAGNETICS,CMCX,1980,25946,0,0,0,.,0
05547510,19810415,BIW CABLE SYSTEMS,BIWC,1905,16206,0,0,0,.,0
20509010,19810415,COMPUTER ENTRY,CESC,1969,25882,1,0,0,.,0
46112110,19810416,INTERTEC DATA,IDSC,1973,63642,0,0,0,.,0
72590010,19810416,PIZZA TIME THEATRE,CHKY,1978,63213,2,0,0,.,0
82705310,19810416,SILICON ELECTRO-PHYSIC,SEPI,1975,70608,0,0,0,.,0
25810710,19810421,DORADO MICRO SYSTEMS,DORM,1977,59695,1,0,0,.,0
39241510,19810422,GREATWEST HOSPITALS,GWHI,1981,63968,0,0,0,.,0
87074210,19810422,SWIFT INDEPENDENT,SIPC,1980,64119,0,0,0,.,0
23935910,19810423,DAWSON GEOPHYSICAL,DWSN,1952,29050,0,0,0,.,0
29274110,19810423,ENERSERV PRODUCTS,ESPI,1976,63570,0,0,0,.,0
29356310,19810423,ENS BIOLOGICALS,BIOLF,1978,78404,9,.,0,.,0
87990810,19810423,TELESPHERE INT'L,TSPH,1979,64813,0,0,0,.,0
16875910,19810428,CHILDREN'S PLACE,KIDS,1972,23262,2,0,0,.,0
22501510,19810428,CRAWFORD ENERGY,CREN,1973,63124,0,0,0,.,0
54717510,19810429,IKE LOVELADY,IKEL,1978,50201,1,0,0,.,0
64037910,19810430,NELSON RESEARCH,NELR,1972,57075,0,0,0,.,0
23769010,19810505,DATA I/O,DAIO,1969,28629,1,0,0,.,0
97816010,19810505,WOMETCO CABLE TV,WCTV,1971,83417,0,0,0,.,0
65626810,19810506,NORPAC EXPLORATION SERVICES,NORP,1967,57841,2,0,0,.,0
02536410,19810507,AMERICAN DIAGNOSTICS,ADGN,1972,12750,0,0,0,.,0
92764810,19810507,VIRATEK,VIRA,1980,80929,0,0,0,.,0
00791410,19810512,ADVANCED SEMICONDUCTOR MAT,ASMIF,1968,11077,0,0,0,.,0
45890310,19810512,INTERFERON SCIENCES,IFSC,1980,44928,0,0,0,.,0
46059010,19810512,INTERPHARM LABS,IPLLF,1978,78307,9,.,0,.,0
44981310,19810512,IPL SYSTEMS,IPLSA,1973,43327,0,0,1,3808000,0
75530710,19810512,READING AVIATION,RASI,1946,73243,0,0,0,.,0
12690410,19810513,CABLE TV INDUSTRIES,CATV,1976,20467,0,0,0,.,0
45790410,19810513,INPUT BUSINESS MACH'S,IPUT,1970,44346,0,0,0,.,0
62422010,19810513,MOUNTAIN MEDICAL EQUIP,MTMD,1978,63247,0,0,0,.,0
66987610,19810513,NOVAR ELECTRONICS,NOVR,1963,58500,1,0,0,.,0
04590010,19810514,ASTRO DRILLING,ASDR,1974,63888,0,0,0,.,0
88517510,19810514,THORATEC LABS,TTEC,1976,76100,0,0,0,.,0
83071510,19810519,SKIPPER'S,SKIP,1978,70843,0,0,0,.,0
05790110,19810520,BALCO ENERGY,BLCO,1958,16433,0,0,0,.,0
81787510,19810522,SEVEN OAKS INT'L,QPON,1971,70106,0,0,0,.,0
76255310,19810527,RIBI IMMUNOCHEM,RIBI,1981,66836,0,0,0,.,0
17163310,19810528,CIBOLA ENERGY,CBLA,1978,23422,0,0,0,.,0
90403010,19810528,ULTRA-SYSTEMS,ULTR,1969,77914,0,0,0,.,0
91325310,19810528,UNITEL VIDEO,UNVD,1969,65103,0,0,0,.,0
06957610,19810602,BARTON VALVE,BART,1961,17014,0,0,0,.,0
25065710,19810602,DETECTOR ELECTRONICS,DETX,1973,29568,1,0,0,.,0
09852310,19810604,BONRAY DRILLING,BNRY,1957,18738,0,0,0,.,0
49435510,19810604,KIMBARK OIL & GAS,KIMB,1949,47723,0,0,0,.,0
35006010,19810609,L.B. FOSTER,FSTRA,1902,37402,0,0,1,8196000,0
53932010,19810609,LIZ CLAIBORNE,LIZC,1976,49905,0,0,0,.,0
83402410,19810609,SOFTWARE AG,SAGA,1973,71037,0,0,0,.,0
26187810,19810611,DREYER'S ICE CREAM,DRYR,1928,30780,0,0,0,.,0
78390310,19810612,S.A.L. CABLE COMMUNIC.,SALC,1974,68180,0,0,0,.,0
37247410,19810617,GEOPHYSICAL SYSTEMS,GSCO,1972,38747,0,0,0,.,0
49875410,19810617,KLOSS VIDEO,KLOS,1977,47942,1,0,0,.,0
02090310,19810618,ALPHA MICROSYSTEMS,ALMI,1977,12117,0,0,0,.,0
67555910,19810618,OCILLA INDUSTRIES,OCIL,1969,59011,2,0,0,.,0
50155110,19810619,KYLE TECHNOLOGY,KYLE,1976,48187,0,0,0,.,0
59478710,19810619,MICOM SYSTEMS,MICS,1973,53429,1,0,0,.,0
30239010,19810623,FAFCO,FAFO,1972,33911,1,0,0,.,0
32090310,19810623,FIRST MATAGORDA,FMAT,1978,35968,0,0,0,.,0
77551210,19810624,ROLFITE COMPANY,ROLF,1970,67521,0,0,0,.,0
88019410,19810624,TEMPLETON ENERGY,TMPL,1981,75409,0,0,0,.,0
91084410,19810625,UNITED MEDICAL,UMII,1972,63810,0,0,0,.,0
40410010,19810630,HBO & COMPANY,HBOC,1974,40484,1,0,0,.,0
01722710,19810701,ALLEGHENY & WESTERN,ALGH,1981,11835,0,0,0,.,0
48811910,19810701,KELLY-JOHNSTON ENTERPR,KEJO,1977,47352,0,0,0,.,0
53173510,19810701,LIEBERT,LIEB,1965,49411,0,0,0,.,0
98990610,19810702,ZONIC,ZNIC,1970,84233,1,0,0,.,0
91390310,19810709,UNIVERSAL HEALTH SVCS.,UHSI,1978,79637,1,0,1,4322000,0
67606510,19810714,ODETICS,ODEX,1969,66667,0,0,0,.,0
19978910,19810716,COMAIR,COMR,1977,24935,0,0,0,.,0
68190410,19810716,OMNICARE,OMCR,1977,63714,0,0,0,.,0
03209810,19810722,AMPLICA,AMPI,1972,14112,1,0,0,.,0
20591410,19810722,COMTEX SCIENTIFIC,CMTX,1980,26287,0,0,0,.,0
09066010,19810724,BIOSEARCH MEDICAL,BMPI,1975,18121,0,0,0,.,0
07603710,19810728,BEDFORD COMPUTER,BEDF,1975,17356,0,0,0,.,0
39032310,19810728,GREAT EASTERN ENERGY,GREN,1978,39854,0,0,0,.,0
44929410,19810729,ICO,ICOC,1970,64258,0,0,0,.,0
81606410,19810730,SEIS PROS,SEIS,1977,63327,0,0,0,.,0
60975510,19810804,MONOCLONAL ANTIBODIES,MABS,1979,55037,1,0,0,.,0
37291410,19810805,GEOPHYSICAL FIELD SURV,GFSI,1972,38819,0,0,0,.,0
69523410,19810805,PACO PHARMACEUTICAL,PPSI,1974,60856,1,0,0,.,0
69863110,19810805,PANSOPHIC SYSTEMS,PANS,1969,68611,1,0,0,.,0
87831510,19810806,TECHAMERICA GROUP,TCHA,1971,63378,0,0,0,.,0
